respondent_id,churned,age,gender,loyalty_level,how_long_a_customer,how_far_away,feel_valued_as_customer,get_often_inspiration,good_product_overview,pick_up_flexibility,fair_prices,looking_forward_to_the_next_12_months,see_improvements_recently,informed_about_new_products,find_productst_i_want,i_enjoy_buying
1,0,3,1,,2,5,1,2,2,1,1,4,1,,1,2
10,0,3,2,1,5,1,1,1,2,1,2,1,1,,2,1
100,1,3,1,1,3,2,5,1,1,1,4,3,1,,2,1
1000,0,3,1,3,6,1,1,1,4,1,5,2,2,,1,1
10000,0,0,,1,0,1,1,2,2,1,2,3,1,1,1,3
10001,1,3,1,1,2,2,4,4,3,1,5,3,3,,4,5
10002,1,5,2,1,5,3,2,1,1,1,1,1,1,,1,2
10003,0,6,2,,5,4,1,1,2,1,2,1,1,,1,1
10004,0,6,2,1,6,3,5,1,5,5,1,3,1,5,1,1
10005,1,2,1,,1,1,1,4,2,2,1,2,1,,2,2
10006,1,2,1,,3,1,4,2,1,1,4,1,2,,1,5
10007,0,5,2,,3,1,1,4,1,1,2,4,1,,2,1
10008,0,6,2,1,8,2,2,2,2,2,4,3,2,,2,2
10009,1,5,2,1,6,3,2,1,1,1,2,1,1,,1,1
1001,1,2,2,1,2,1,4,5,2,1,5,3,1,,2,5
10010,1,2,2,,2,1,1,1,1,1,4,1,1,,1,1
10011,1,5,2,1,6,3,5,2,5,2,2,3,5,,5,5
10012,0,3,,1,3,,3,2,2,2,4,1,1,,1,1
10013,1,4,1,,5,2,4,2,3,1,2,1,1,,2,2
10014,1,4,2,1,3,2,5,2,2,2,2,2,1,,2,2
10015,0,3,,,4,1,3,1,2,1,5,2,1,,2,2
10016,1,3,2,1,2,2,1,1,1,1,1,4,1,,1,1
10017,0,6,2,1,8,4,1,3,1,1,2,1,1,,1,1
10018,1,6,2,1,8,1,4,2,1,1,2,3,1,2,4,2
10019,1,3,1,2,3,2,2,4,1,1,5,1,1,,2,2
1002,0,4,2,3,5,2,1,1,1,1,4,1,1,1,1,1
10020,0,6,2,1,7,3,2,1,4,1,1,3,1,1,1,1
10021,0,1,2,,1,1,1,1,2,2,2,1,1,,1,1
10022,0,3,2,,3,3,2,4,2,4,5,4,1,,4,3
10023,1,3,1,,3,3,2,4,2,2,2,2,2,,4,3
10024,0,4,2,1,2,2,1,1,2,1,1,1,1,,2,1
10025,1,2,1,1,3,4,1,2,2,1,4,3,1,,2,1
10026,0,6,2,1,2,1,1,1,1,1,3,1,1,,1,1
10027,0,3,2,1,2,2,2,2,2,2,2,4,1,,2,2
10028,1,2,2,,4,1,1,1,1,1,5,1,1,,1,1
10029,0,2,1,1,1,1,2,3,3,1,1,1,1,,2,2
1003,1,3,,,1,,4,3,3,5,3,3,3,,3,3
10030,1,2,2,,3,2,1,1,2,1,2,1,1,,1,2
